,zip,ESTAB,EMP,PAYANN,PAYANN/ESTAB,PAYANN/EMP,cluster
0,00501,2,1.0,1.0,0.5,1.0,0
1,01001,472,9127.0,376492.0,797.6525423728814,41.25035608633724,2
2,01002,564,18894.0,472633.0,838.0017730496454,25.014978299989416,2
3,01003,21,288.0,10461.0,498.14285714285717,36.322916666666664,0
4,01004,14,193.0,5915.0,422.5,30.647668393782382,0
5,01005,95,1089.0,34815.0,366.4736842105263,31.96969696969697,2
6,01007,229,1989.0,63860.0,278.8646288209607,32.10658622423328,2
7,01008,21,182.0,3382.0,161.04761904761904,18.582417582417584,0
8,01009,18,144.0,5955.0,330.8333333333333,41.354166666666664,0
9,01010,75,287.0,14954.0,199.38666666666666,52.10452961672474,2
10,01011,11,33.0,1138.0,103.45454545454545,34.484848484848484,0
11,01012,10,51.0,1112.0,111.2,21.80392156862745,0
12,01013,333,4453.0,167915.0,504.24924924924926,37.70828654839434,2
13,01014,1,1.0,1.0,1.0,1.0,0
14,01020,553,8900.0,347295.0,628.0198915009041,39.02191011235955,2
15,01021,10,224.0,6154.0,615.4,27.473214285714285,0
16,01022,58,2056.0,111321.0,1919.3275862068965,54.14445525291829,2
17,01026,19,76.0,2984.0,157.05263157894737,39.26315789473684,0
18,01027,416,3866.0,148200.0,356.25,38.33419555095706,2
19,01028,516,7448.0,318073.0,616.4205426356589,42.705827067669176,2
20,01029,14,266.0,11538.0,824.1428571428571,43.37593984962406,0
21,01030,209,1223.0,39120.0,187.17703349282297,31.986917416189698,2
22,01031,20,61.0,1232.0,61.6,20.19672131147541,0
23,01032,27,123.0,4589.0,169.96296296296296,37.3089430894309,0
24,01033,122,722.0,25681.0,210.5,35.569252077562325,2
25,01034,31,112.0,5108.0,164.7741935483871,45.607142857142854,0
26,01035,308,5514.0,163897.0,532.1331168831168,29.72379397896264,2
27,01036,116,943.0,36283.0,312.7844827586207,38.47613997879109,2
28,01037,18,266.0,13143.0,730.1666666666666,49.409774436090224,0
29,01038,61,1441.0,67929.0,1113.5901639344263,47.14018043025676,2
30,01039,28,234.0,10005.0,357.32142857142856,42.756410256410255,0
31,01040,888,17098.0,712203.0,802.0304054054054,41.65417007837174,2
32,01041,27,901.0,29704.0,1100.148148148148,32.96781354051054,2
33,01050,33,170.0,5134.0,155.57575757575756,30.2,0
34,01053,28,1466.0,103747.0,3705.25,70.76875852660301,2
35,01054,33,104.0,3904.0,118.3030303030303,37.53846153846154,0
36,01056,404,4248.0,189583.0,469.26485148514854,44.62876647834275,2
37,01057,144,818.0,35251.0,244.79861111111111,43.09413202933985,2
38,01059,10,101.0,4125.0,412.5,40.84158415841584,0
39,01060,773,12356.0,518118.0,670.2690815006468,41.93250242797021,2
40,01061,17,99.0,4625.0,272.05882352941177,46.717171717171716,0
41,01062,196,1853.0,76465.0,390.1275510204082,41.26551538046411,2
42,01063,4,1.0,1.0,0.25,1.0,0
43,01066,9,1.0,1.0,0.1111111111111111,1.0,0
44,01068,29,68.0,3243.0,111.82758620689656,47.69117647058823,0
45,01069,272,3593.0,168169.0,618.2683823529412,46.80462009462845,2
46,01070,8,24.0,460.0,57.5,19.166666666666668,0
47,01071,20,95.0,2528.0,126.4,26.610526315789475,0
48,01072,19,66.0,1649.0,86.78947368421052,24.984848484848484,0
49,01073,129,1097.0,34569.0,267.9767441860465,31.512306289881494,2
50,01074,10,65.0,2203.0,220.3,33.89230769230769,0
51,01075,313,4800.0,158300.0,505.75079872204475,32.979166666666664,2
52,01077,219,1955.0,75320.0,343.9269406392694,38.52685421994885,2
53,01079,14,69.0,2297.0,164.07142857142858,33.289855072463766,0
54,01080,38,339.0,12470.0,328.1578947368421,36.78466076696165,0
55,01081,14,48.0,1525.0,108.92857142857143,31.770833333333332,0
56,01082,158,2201.0,79945.0,505.9810126582278,36.32212630622444,2
57,01083,32,226.0,12625.0,394.53125,55.86283185840708,0
58,01084,5,31.0,1359.0,271.8,43.83870967741935,0
59,01085,865,14123.0,594905.0,687.7514450867052,42.12313247893507,2
60,01086,16,792.0,27188.0,1699.25,34.32828282828283,2
61,01088,31,323.0,12945.0,417.5806451612903,40.077399380804955,0
62,01089,974,16099.0,659392.0,676.993839835729,40.9585688552084,2
63,01090,15,93.0,5644.0,376.26666666666665,60.68817204301075,0
64,01092,16,61.0,2088.0,130.5,34.22950819672131,0
65,01093,31,785.0,37390.0,1206.1290322580646,47.63057324840764,2
66,01094,3,1.0,1.0,0.3333333333333333,1.0,0
67,01095,290,3854.0,137703.0,474.8379310344828,35.729891022314476,2
68,01096,53,412.0,14051.0,265.1132075471698,34.10436893203884,0
69,01097,2,1.0,1.0,0.5,1.0,0
70,01098,19,93.0,3483.0,183.31578947368422,37.45161290322581,0
71,01101,19,700.0,19024.0,1001.2631578947369,27.177142857142858,2
72,01102,17,2981.0,228477.0,13439.823529411764,76.64441462596444,2
73,01103,448,6313.0,263222.0,587.5491071428571,41.69523206082687,2
74,01104,531,14552.0,845201.0,1591.7156308851224,58.0814321055525,2
75,01105,272,6320.0,234345.0,861.5625,37.079905063291136,2
76,01106,270,3724.0,119418.0,442.2888888888889,32.067132116004295,2
77,01107,151,2545.0,164749.0,1091.0529801324503,64.7343811394892,2
78,01108,268,2576.0,72768.0,271.5223880597015,28.248447204968944,2
79,01109,296,8403.0,289895.0,979.375,34.49898845650363,2
80,01111,15,1.0,1.0,0.06666666666666667,1.0,0
81,01115,45,799.0,112855.0,2507.8888888888887,141.24530663329162,2
82,01116,5,1.0,1.0,0.2,1.0,0
83,01118,130,1487.0,50749.0,390.37692307692305,34.128446536650976,2
84,01119,147,3930.0,106631.0,725.3809523809524,27.13256997455471,2
85,01128,52,833.0,18233.0,350.63461538461536,21.888355342136855,2
86,01129,158,2627.0,59594.0,377.17721518987344,22.68519223448801,2
87,01138,8,25.0,556.0,69.5,22.24,0
88,01139,2,1.0,1.0,0.5,1.0,0
89,01144,51,1098.0,92530.0,1814.313725490196,84.27140255009107,2
90,01151,144,1863.0,117627.0,816.8541666666666,63.13848631239936,2
91,01152,2,1.0,1.0,0.5,1.0,0
92,01199,5,1.0,1.0,0.2,1.0,0
93,01201,1287,23749.0,1238125.0,962.0240870240871,52.133774053644366,2
94,01202,33,356.0,27672.0,838.5454545454545,77.73033707865169,2
95,01203,1,1.0,1.0,1.0,1.0,0
96,01220,159,1549.0,60506.0,380.54088050314465,39.06132989025178,2
97,01222,17,42.0,1824.0,107.29411764705883,43.42857142857143,0
98,01223,42,254.0,12092.0,287.9047619047619,47.60629921259842,0
99,01224,3,1.0,1.0,0.3333333333333333,1.0,0
100,01225,54,383.0,16637.0,308.0925925925926,43.438642297650134,0
101,01226,122,1319.0,73883.0,605.5983606557377,56.01440485216073,2
102,01227,5,54.0,1947.0,389.4,36.05555555555556,0
103,01229,3,11.0,824.0,274.6666666666667,74.9090909090909,0
104,01230,417,4839.0,184770.0,443.0935251798561,38.183508989460634,2
105,01235,49,218.0,7400.0,151.0204081632653,33.944954128440365,0
106,01236,43,476.0,16285.0,378.72093023255815,34.21218487394958,0
107,01237,123,1693.0,34795.0,282.8861788617886,20.55227406969876,2
108,01238,282,2971.0,95936.0,340.1985815602837,32.290811174688656,2
109,01240,248,3444.0,111885.0,451.1491935483871,32.48693379790941,2
110,01242,17,128.0,4225.0,248.52941176470588,33.0078125,0
111,01243,6,28.0,665.0,110.83333333333333,23.75,0
112,01244,3,1.0,1.0,0.3333333333333333,1.0,0
113,01245,24,156.0,5054.0,210.58333333333334,32.3974358974359,0
114,01247,330,3843.0,127350.0,385.90909090909093,33.13817330210773,2
115,01252,4,5.0,296.0,74.0,59.2,0
116,01253,33,133.0,3046.0,92.3030303030303,22.902255639097746,0
117,01254,30,73.0,2442.0,81.4,33.45205479452055,0
118,01255,20,117.0,4887.0,244.35,41.76923076923077,0
119,01256,5,14.0,695.0,139.0,49.642857142857146,0
120,01257,110,1036.0,49388.0,448.9818181818182,47.67181467181467,2
121,01258,33,434.0,6610.0,200.3030303030303,15.23041474654378,2
122,01259,25,82.0,3599.0,143.96,43.890243902439025,0
123,01260,12,523.0,24978.0,2081.5,47.75908221797323,2
124,01262,78,1509.0,56572.0,725.2820512820513,37.48972829688535,2
125,01264,1,1.0,1.0,1.0,1.0,0
126,01266,44,133.0,5806.0,131.95454545454547,43.65413533834587,0
127,01267,213,3534.0,185882.0,872.6854460093897,52.598189020939444,2
128,01270,8,24.0,1372.0,171.5,57.166666666666664,0
129,01301,556,8161.0,288599.0,519.0629496402878,35.36319078544296,2
130,01302,22,409.0,21320.0,969.0909090909091,52.127139364303176,2
131,01330,36,173.0,7060.0,196.11111111111111,40.809248554913296,0
132,01331,211,2980.0,110231.0,522.4218009478673,36.99026845637584,2
133,01337,47,412.0,12643.0,269.0,30.686893203883496,0
134,01338,13,40.0,1630.0,125.38461538461539,40.75,0
135,01339,31,315.0,6939.0,223.83870967741936,22.02857142857143,0
136,01340,18,91.0,4064.0,225.77777777777777,44.65934065934066,0
137,01341,26,120.0,4689.0,180.34615384615384,39.075,0
138,01342,27,879.0,37182.0,1377.111111111111,42.30034129692833,2
139,01343,1,1.0,1.0,1.0,1.0,0
140,01344,21,270.0,11532.0,549.1428571428571,42.71111111111111,0
141,01346,5,15.0,294.0,58.8,19.6,0
142,01347,1,1.0,1.0,1.0,1.0,0
143,01349,7,11.0,364.0,52.0,33.09090909090909,0
144,01350,3,1.0,1.0,0.3333333333333333,1.0,0
145,01351,30,112.0,3722.0,124.06666666666666,33.232142857142854,0
146,01354,22,296.0,8015.0,364.3181818181818,27.0777027027027,0
147,01355,20,75.0,2506.0,125.3,33.413333333333334,0
148,01360,47,781.0,35850.0,762.7659574468086,45.90268886043534,2
149,01364,134,1287.0,49416.0,368.7761194029851,38.396270396270396,2
150,01366,30,63.0,1336.0,44.53333333333333,21.206349206349206,0
151,01367,6,63.0,5445.0,907.5,86.42857142857143,0
152,01368,9,37.0,681.0,75.66666666666667,18.405405405405407,0
153,01370,114,532.0,15634.0,137.140350877193,29.387218045112782,2
154,01373,143,2868.0,154663.0,1081.5594405594406,53.92712691771269,2
155,01375,54,714.0,40432.0,748.7407407407408,56.627450980392155,2
156,01376,97,1607.0,64373.0,663.639175257732,40.05787181082763,2
157,01378,5,13.0,329.0,65.8,25.307692307692307,0
158,01379,10,22.0,376.0,37.6,17.09090909090909,0
159,01380,2,1.0,1.0,0.5,1.0,0
160,01420,765,10192.0,377467.0,493.4209150326797,37.03561616954474,2
161,01430,91,615.0,23608.0,259.42857142857144,38.3869918699187,0
162,01431,60,177.0,6681.0,111.35,37.74576271186441,0
163,01432,233,3692.0,214242.0,919.4935622317597,58.02871072589382,2
164,01434,77,2860.0,213501.0,2772.7402597402597,74.6506993006993,2
165,01436,34,458.0,23346.0,686.6470588235294,50.97379912663755,2
166,01438,19,218.0,11303.0,594.8947368421053,51.84862385321101,0
167,01440,403,6736.0,266149.0,660.4193548387096,39.51143111638955,2
168,01441,10,1.0,1.0,0.1,1.0,0
169,01450,211,2067.0,83832.0,397.3080568720379,40.55732946298984,2
